dt_id,zone,lat,long,hour,mw_pred,capacity,risk_level,overload_prob
DT-450,Koramangala,12.921886,77.612728,23,0.05064454530322891,0.2306,Green,0.0
DT-450,Koramangala,12.921886,77.612728,2,0.06763654356610418,0.2306,Green,0.0
DT-450,Koramangala,12.921886,77.612728,1,0.06770761305598115,0.2306,Green,0.0
DT-450,Koramangala,12.921886,77.612728,10,0.07034556900876208,0.2306,Green,0.0
DT-450,Koramangala,12.921886,77.612728,18,0.23302104032608978,0.2306,Red,33.0
DT-450,Koramangala,12.921886,77.612728,4,0.06757002815473093,0.2306,Green,0.0
DT-450,Koramangala,12.921886,77.612728,8,0.12594015141818318,0.2306,Green,0.0
DT-450,Koramangala,12.921886,77.612728,13,0.051146138642157106,0.2306,Green,0.0
DT-450,Koramangala,12.921886,77.612728,19,0.2606255448049239,0.2306,Red,71.0
DT-450,Koramangala,12.921886,77.612728,21,0.18861898350130651,0.2306,Amber,0.0
DT-450,Koramangala,12.921886,77.612728,15,0.0750118686338207,0.2306,Green,0.0
DT-450,Koramangala,12.921886,77.612728,22,0.07454008417519517,0.2306,Green,0.0
DT-450,Koramangala,12.921886,77.612728,5,0.05037563666358464,0.2306,Green,0.0
DT-450,Koramangala,12.921886,77.612728,9,0.09616990258000281,0.2306,Green,0.0
DT-450,Koramangala,12.921886,77.612728,14,0.057495945891357966,0.2306,Green,0.0
DT-450,Koramangala,12.921886,77.612728,17,0.18243661255074933,0.2306,Amber,0.0
DT-450,Koramangala,12.921886,77.612728,3,0.06775336460906618,0.2306,Green,0.0
DT-450,Koramangala,12.921886,77.612728,6,0.08974519899540151,0.2306,Green,0.0
DT-450,Koramangala,12.921886,77.612728,7,0.11331522879935967,0.2306,Green,0.0
DT-450,Koramangala,12.921886,77.612728,12,0.05033022475567462,0.2306,Green,0.0
DT-450,Koramangala,12.921886,77.612728,20,0.24512948917819985,0.2306,Red,63.0
DT-450,Koramangala,12.921886,77.612728,0,0.06739260279342443,0.2306,Green,0.0
DT-450,Koramangala,12.921886,77.612728,11,0.055328287023634036,0.2306,Green,0.0
DT-450,Koramangala,12.921886,77.612728,16,0.10839931134422551,0.2306,Green,0.0
DT-451,Koramangala,12.938861,77.630171,5,0.050432565247175834,0.2449,Green,0.0
DT-451,Koramangala,12.938861,77.630171,9,0.09804755790207882,0.2449,Green,0.0
DT-451,Koramangala,12.938861,77.630171,14,0.06105914419385578,0.2449,Green,0.0
DT-451,Koramangala,12.938861,77.630171,17,0.18077379286692807,0.2449,Amber,0.0
DT-451,Koramangala,12.938861,77.630171,7,0.11559232813635208,0.2449,Green,0.0
DT-451,Koramangala,12.938861,77.630171,8,0.1181455949551692,0.2449,Green,0.0
DT-451,Koramangala,12.938861,77.630171,13,0.05238313398936731,0.2449,Green,0.0
DT-451,Koramangala,12.938861,77.630171,19,0.2656448636171747,0.2449,Red,65.0
DT-451,Koramangala,12.938861,77.630171,10,0.07197255604673362,0.2449,Green,0.0
DT-451,Koramangala,12.938861,77.630171,18,0.23989561153597594,0.2449,Red,0.0
DT-451,Koramangala,12.938861,77.630171,12,0.05200650527899435,0.2449,Green,0.0
DT-451,Koramangala,12.938861,77.630171,20,0.24840820599751584,0.2449,Red,30.0
DT-451,Koramangala,12.938861,77.630171,21,0.19277552664776584,0.2449,Amber,0.0
DT-451,Koramangala,12.938861,77.630171,1,0.05027274321837035,0.2449,Green,0.0
DT-451,Koramangala,12.938861,77.630171,4,0.050175355483325634,0.2449,Green,0.0
DT-451,Koramangala,12.938861,77.630171,23,0.050275676424645116,0.2449,Green,0.0
DT-451,Koramangala,12.938861,77.630171,0,0.05016651861767731,0.2449,Green,0.0
DT-451,Koramangala,12.938861,77.630171,11,0.05714943328093568,0.2449,Green,0.0
DT-451,Koramangala,12.938861,77.630171,16,0.11774836468267362,0.2449,Green,0.0
DT-451,Koramangala,12.938861,77.630171,2,0.05017948956839596,0.2449,Green,0.0
DT-451,Koramangala,12.938861,77.630171,15,0.07708669269158777,0.2449,Green,0.0
DT-451,Koramangala,12.938861,77.630171,22,0.07500774244343492,0.2449,Green,0.0
DT-451,Koramangala,12.938861,77.630171,3,0.050463551304630254,0.2449,Green,0.0
DT-451,Koramangala,12.938861,77.630171,6,0.09248918079989664,0.2449,Green,0.0
DT-452,Koramangala,12.974454,77.644986,5,0.05065468810370075,0.26739999999999997,Green,0.0
DT-452,Koramangala,12.974454,77.644986,9,0.09896634913111796,0.26739999999999997,Green,0.0
DT-452,Koramangala,12.974454,77.644986,14,0.057567616617899685,0.26739999999999997,Green,0.0
DT-452,Koramangala,12.974454,77.644986,17,0.17802739376754187,0.26739999999999997,Green,0.0
DT-452,Koramangala,12.974454,77.644986,7,0.11276472893616551,0.26739999999999997,Green,0.0
DT-452,Koramangala,12.974454,77.644986,8,0.11713376944811707,0.26739999999999997,Green,0.0
DT-452,Koramangala,12.974454,77.644986,13,0.051399163299186305,0.26739999999999997,Green,0.0
DT-452,Koramangala,12.974454,77.644986,19,0.2586602675905735,0.26739999999999997,Red,0.0
DT-452,Koramangala,12.974454,77.644986,10,0.07056150981629658,0.26739999999999997,Green,0.0
DT-452,Koramangala,12.974454,77.644986,18,0.23318188627389927,0.26739999999999997,Amber,0.0
DT-452,Koramangala,12.974454,77.644986,12,0.05029552926074839,0.26739999999999997,Green,0.0
DT-452,Koramangala,12.974454,77.644986,20,0.2407685941649839,0.26739999999999997,Red,0.0
